,text,sentence,word,wordFreq,zipfFreq,surpGPT,word_length,wordId
4263,text_12_L1,3,und,0.0263,7.42,0.016234932467341423,3,61
4264,text_12_L1,3,ökologisch,4.17e-06,3.62,1.5886354446411133,10,62
4265,text_12_L1,3,nachhaltig,1.29e-05,4.11,5.440205097198486,10,63
4266,text_12_L1,3,"ist"".",0.012,7.08,1.784332513809204,5,64
4267,text_12_L1,4,In,0.0174,7.24,3.8858695030212402,2,65
4268,text_12_L1,4,den,0.01,7.0,2.4212632179260254,3,66
4269,text_12_L1,4,letzten,0.000331,5.52,1.5504270792007446,7,67
4270,text_12_L1,4,Jahrzehnten,2.75e-05,4.44,3.616687059402466,11,68
4271,text_12_L1,4,hat,0.00398,6.6,1.2307085990905762,3,69
4272,text_12_L1,4,die,0.0302,7.48,1.9187896251678467,3,70
4273,text_12_L1,4,Organisation,6.03e-05,4.78,7.405479431152344,12,71
4274,text_12_L1,4,ihren,0.00055,5.74,6.777742862701416,5,72
4275,text_12_L1,4,Fokus,2.29e-05,4.36,2.711369514465332,5,73
4276,text_12_L1,4,über,0.00245,6.39,6.380093097686768,4,74
4277,text_12_L1,4,die,0.0302,7.48,0.7309685945510864,3,75
4278,text_12_L1,4,Umweltschutzökologie,0.0,0.0,21.591564178466797,20,76
4279,text_12_L1,4,hinaus,0.000115,5.06,10.879711151123047,6,77
4280,text_12_L1,4,erweitert,2.51e-05,4.4,0.148176908493042,9,78
4281,text_12_L1,4,und,0.0263,7.42,0.6224179863929749,3,79
4282,text_12_L1,4,bezieht,2.88e-05,4.46,2.180624008178711,7,80
4283,text_12_L1,4,nun,0.000759,5.88,1.207463026046753,3,81
4284,text_12_L1,4,Fragen,0.000295,5.47,5.292261123657227,6,82
4285,text_12_L1,4,der,0.0288,7.46,0.7103155851364136,3,83
4286,text_12_L1,4,nachhaltigen,4.17e-06,3.62,6.727634906768799,12,84
4287,text_12_L1,4,Entwicklung,0.000151,5.18,0.7100136280059814,11,85
4288,text_12_L1,4,in,0.0174,7.24,8.761498611420393e-05,2,86
4289,text_12_L1,4,ihre,0.00115,6.06,0.00010179955279454589,4,87
4290,text_12_L1,4,Projekte,3.72e-05,4.57,0.00011252723925281316,8,88
4291,text_12_L1,4,ein.,0.00813,6.91,0.6337471604347229,4,89
4292,text_12_L1,5,Im,0.00724,6.86,4.428861141204834,2,90
4293,text_12_L1,5,Gegensatz,5.89e-05,4.77,4.2525177001953125,9,91
4294,text_12_L1,5,zu,0.0102,7.01,0.6266803741455078,2,92
4295,text_12_L1,5,vielen,0.000331,5.52,2.465806722640991,6,93
4296,text_12_L1,5,anderen,0.000692,5.84,0.3537992835044861,7,94
4297,text_12_L1,5,internationalen,6.92e-05,4.84,6.726283550262451,15,95
4298,text_12_L1,5,Umweltorganisationen,2.45e-07,2.39,8.961677551269531,20,96
4299,text_12_L1,5,ist,0.012,7.08,1.204190969467163,3,97
4300,text_12_L1,5,es,0.00871,6.94,2.286437749862671,2,98
4301,text_12_L1,5,nicht,0.0102,7.01,3.1834840774536133,5,99
4302,text_12_L1,5,das,0.0145,7.16,3.6173653602600098,3,100
4303,text_12_L1,5,"Ziel,",0.000151,5.18,2.3628454208374023,5,101
4304,text_12_L1,5,die,0.0302,7.48,0.39828965067863464,3,102
4305,text_12_L1,5,Öffentlichkeit,4.9e-05,4.69,1.9645557403564453,14,103
4306,text_12_L1,5,für,0.00759,6.88,1.4554308652877808,3,104
4307,text_12_L1,5,den,0.01,7.0,4.076940059661865,3,105
4308,text_12_L1,5,Naturschutz,8.32e-06,3.92,2.2885284423828125,11,106
4309,text_12_L1,5,zu,0.0102,7.01,2.1397783756256104,2,107
4310,text_12_L1,5,mobilisieren.,2.95e-06,3.47,2.9349656105041504,13,108
4311,text_12_L1,6,Stattdessen,3.98e-05,4.6,12.296600341796875,11,109
4312,text_12_L1,6,versucht,0.000126,5.1,2.205972671508789,8,110
4313,text_12_L1,6,die,0.0302,7.48,6.247759819030762,3,111
4314,text_12_L1,6,"Organisation,",6.03e-05,4.78,7.0510101318359375,13,112
4315,text_12_L1,6,das,0.0145,7.16,5.941953659057617,3,113
4316,text_12_L1,6,Verhalten,7.94e-05,4.9,1.1090562343597412,9,114
4317,text_12_L1,6,von,0.00977,6.99,3.1384549140930176,3,115
4318,text_12_L1,6,"Regierungen,",1.38e-05,4.14,8.374509811401367,12,116
4319,text_12_L1,6,Unternehmen,0.00024,5.38,2.0057740211486816,11,117
4320,text_12_L1,6,und,0.0263,7.42,6.43314266204834,3,118
4321,text_12_L1,6,anderen,0.000692,5.84,1.9413666725158691,7,119
4322,text_12_L1,6,Interessengruppen,1.15e-06,3.06,3.5579071044921875,17,120
4323,text_12_L1,6,zu,0.0102,7.01,0.34199920296669006,2,121
4324,text_12_L1,6,"beeinflussen,",1.78e-05,4.25,1.974489688873291,13,122
4325,text_12_L1,6,indem,9.33e-05,4.97,3.279118061065674,5,123
4326,text_12_L1,6,sie,0.00661,6.82,0.2787889838218689,3,124
4327,text_12_L1,6,Informationen,0.000102,5.01,0.7515210509300232,13,125
4328,text_12_L1,6,und,0.0263,7.42,0.9715480208396912,3,126
